Year,School,Conference,Public_Private,Undergrads,Revenues,Expenses,Coach_Salary,Infractions,Wins,Losses
2010,Washington State,Pac-10,Public,18696,12741698,9193553,600000,0,2,10
2011,Washington State,Pac-12,Public,19706,17962415,12720020,600000,0,4,8
2012,Washington State,Pac-12,Public,20005,26926755,12658532,2250000,0,3,9
2013,Washington State,Pac-12,Public,20254,26994998,15711437,2250000,0,6,7
2014,Washington State,Pac-12,Public,20771,32004916,16638375,2750000,0,3,9
2015,Washington State,Pac-12,Public,21298,34457679,18430943,2750000,0,9,4
2016,Washington State,Pac-12,Public,21534,40547097,19053746,2950000,0,8,5
2003,West Virginia,Big East,Public,16543,17373542,11073320,-1,0,8,5
2004,West Virginia,Big East,Public,17614,17170945,11328836,-1,0,8,4
2005,West Virginia,Big East,Public,18449,22143869,11942160,-1,0,11,1
2006,West Virginia,Big East,Public,20590,25174217,13810787,250000,0,11,2
2007,West Virginia,Big East,Public,21115,27552053,17778686,1203000,0,11,2
2008,West Virginia,Big East,Public,20533,28952873,15900884,-1,0,9,4
2009,West Virginia,Big East,Public,20260,29467612,14330236,275000,0,9,4
2010,West Virginia,Big East,Public,20809,19960732,13230226,903000,0,9,4
2011,West Virginia,Big East,Public,21139,24457152,14119298,1490000,1,10,3
2012,West Virginia,Big 12,Public,21118,26190883,15977317,2380000,0,7,6
2013,West Virginia,Big 12,Public,21027,18606609,16981457,2630000,0,4,8
2014,West Virginia,Big 12,Public,20863,22510492,17367769,3080000,0,7,6
2015,West Virginia,Big 12,Public,20532,19300894,18531917,2880000,1,8,5
2016,West Virginia,Big 12,Public,20524,22453097,20122095,2980000,0,10,3
2008,Western Kentucky,Independent,Public,13330,5218006,5218006,-1,0,2,10
2009,Western Kentucky,Sun Belt,Public,13857,5768244,5768244,250008,0,0,12
2010,Western Kentucky,Sun Belt,Public,13890,5103326,5103326,225000,0,2,10
2011,Western Kentucky,Sun Belt,Public,13795,5883389,5883389,225000,0,7,5
2012,Western Kentucky,Sun Belt,Public,13694,6406881,6406882,475000,0,7,6
2013,Western Kentucky,Sun Belt,Public,13234,7786215,7786215,855600,0,8,4
2014,Western Kentucky,C-USA,Public,13042,7227022,7227022,600000,0,8,5
2015,Western Kentucky,C-USA,Public,12932,7648174,7648174,610800,0,12,2
2016,Western Kentucky,C-USA,Public,12967,8914222,8914222,805600,0,11,3
2003,Western Michigan,MAC,Public,20248,1754840,3152675,-1,0,5,7
2004,Western Michigan,MAC,Public,19555,1535550,3632952,-1,0,1,10
2005,Western Michigan,MAC,Public,18760,1419840,3780126,-1,0,7,4
2006,Western Michigan,MAC,Public,18749,1841527,4054783,165000,0,8,5
2007,Western Michigan,MAC,Public,17285,2522901,4557088,191000,0,5,7
2008,Western Michigan,MAC,Public,17548,5603913,5603913,-1,0,9,4
2009,Western Michigan,MAC,Public,17030,5065840,5065840,225000,0,5,7
2010,Western Michigan,MAC,Public,17287,6911355,5775373,375000,0,6,6
2011,Western Michigan,MAC,Public,16950,7047450,6047695,377250,0,7,6
2012,Western Michigan,MAC,Public,16228,7482419,7112777,377250,0,4,8
2013,Western Michigan,MAC,Public,15820,7335761,7335761,392500,0,1,11
2014,Western Michigan,MAC,Public,15581,8041489,8041487,392500,0,8,5
2015,Western Michigan,MAC,Public,15337,8577674,8577674,800000,0,8,5
2016,Western Michigan,MAC,Public,14999,8667334,8667334,816360,0,13,1
2003,Wisconsin,Big Ten,Public,26794,23271101,10806874,-1,0,7,6
2004,Wisconsin,Big Ten,Public,26619,34105659,12214995,-1,0,9,3
2005,Wisconsin,Big Ten,Public,27085,34277690,12340953,-1,0,10,3
2006,Wisconsin,Big Ten,Public,27219,34105991,19771064,750000,0,12,1
2007,Wisconsin,Big Ten,Public,28999,37733698,22979031,1300000,0,9,4
2008,Wisconsin,Big Ten,Public,27423,40005517,22711914,-1,0,7,6
2009,Wisconsin,Big Ten,Public,27145,38662971,22041491,400000,0,10,3
2010,Wisconsin,Big Ten,Public,27374,43296599,23662925,1700000,0,11,2
2011,Wisconsin,Big Ten,Public,27475,48416449,24231297,2500000,0,11,3
2012,Wisconsin,Big Ten,Public,27892,50641993,31811280,2600000,0,8,6
2013,Wisconsin,Big Ten,Public,28183,47284723,31282929,2035823,0,9,4
2014,Wisconsin,Big Ten,Public,27867,44797138,26643793,2200000,0,11,3
2015,Wisconsin,Big Ten,Public,28157,71220684,30731315,2300000,0,10,3
2016,Wisconsin,Big Ten,Public,28201,73548409,33147287,2700000,0,11,3
2003,Wyoming,MW,Public,7605,5545301,3490464,-1,0,4,8
2004,Wyoming,MW,Public,7762,7501957,4203604,-1,0,7,5
2005,Wyoming,MW,Public,7699,7248390,4023940,-1,0,4,7
2006,Wyoming,MW,Public,7436,6598307,4430217,430100,0,6,6
2007,Wyoming,MW,Public,7764,6958278,5332411,472349,0,5,7
2008,Wyoming,MW,Public,7911,8792537,5509247,-1,0,4,8
2009,Wyoming,MW,Public,8124,9145222,6428503,391730,0,7,6
2010,Wyoming,MW,Public,8352,8677505,5770034,861000,0,3,9
2011,Wyoming,MW,Public,8346,7209442,7209442,843376,0,8,5
2012,Wyoming,MW,Public,8309,7802981,6981430,1200000,0,4,8
2013,Wyoming,MW,Public,8254,9626099,7513395,1200000,0,5,7
2014,Wyoming,MW,Public,8272,11008232,8061049,832000,0,4,8
2015,Wyoming,MW,Public,8392,10714937,9273851,882000,0,2,10
2016,Wyoming,MW,Public,8099,13133784,10397742,909000,0,8,6
